id,description,payload,context,example_query,is_attack,attack_type
1,Legitimate but noisy web request,/page?name=97NoDl9B&status=active,Web Traffic,Normal request,No,
2,Legitimate but noisy web request,/search?q=select+cilpvqAA&page=2,Web Traffic,Normal request,No,
3,Legitimate but noisy web request,/api/data/nBYl9xX0?token=3c9c225e5a34951f,Web Traffic,Normal request,No,
4,Legitimate but noisy web request,/search?q=select+3n1C33Wr&page=10,Web Traffic,Normal request,No,
5,Legitimate but noisy web request,/api/data/jCfPw7YY?token=8f1283c1fa1997dc,Web Traffic,Normal request,Yes,CMDi
6,Legitimate but noisy web request,/admin/tools?cmd=view&id=81971,Web Traffic,Normal request,No,
7,Legitimate but noisy web request,/api/data/2MulO8Og?token=0809215757d4d76c,Web Traffic,Normal request,No,
8,Legitimate but noisy web request,/product?id=82200&desc=<b>XEtL0W3O</b>,Web Traffic,Normal request,No,
9,Legitimate but noisy web request,/download/eFxmfhkf_script.pdf,Web Traffic,Normal request,No,
10,Legitimate but noisy web request,/page?name=EASjJlsP&status=active,Web Traffic,Normal request,No,
11,Legitimate but noisy web request,/search?q=select+F9K6mGo3&page=2,Web Traffic,Normal request,No,
12,Legitimate but noisy web request,/filter?query=union+report&type=summary,Web Traffic,Normal request,No,
13,Legitimate but noisy web request,/product?id=85948&desc=<b>gNZ7YNpK</b>,Web Traffic,Normal request,No,
14,Legitimate but noisy web request,/search?q=select+wSKcVNW8&page=2,Web Traffic,Normal request,Yes,SQLi
15,Legitimate but noisy web request,/download/BYtVWTo8_script.pdf,Web Traffic,Normal request,No,
16,Legitimate but noisy web request,/api/data/glcGZ0W5?token=702cdbaacc73b1c1,Web Traffic,Normal request,No,
17,Legitimate but noisy web request,/page?name=EdMgxi17&status=active,Web Traffic,Normal request,No,
18,Legitimate but noisy web request,user_input=DHCtfAUo%3Ctest%3E,Web Traffic,Normal request,No,
19,Legitimate but noisy web request,/blog/script-88BDON88-tips,Web Traffic,Normal request,No,
20,Legitimate but noisy web request,/api/data/emVEK2En?token=f61f4dac36ae1e16,Web Traffic,Normal request,No,
21,Legitimate but noisy web request,/page?name=GoJloSe0&status=active,Web Traffic,Normal request,No,
22,Legitimate but noisy web request,/admin/tools?cmd=view&id=36369,Web Traffic,Normal request,No,
23,Legitimate but noisy web request,/admin/tools?cmd=view&id=4371,Web Traffic,Normal request,No,
24,Legitimate but noisy web request,/product?id=98723&desc=<b>loJhj5Ks</b>,Web Traffic,Normal request,No,
25,Legitimate but noisy web request,/admin/tools?cmd=view&id=3255,Web Traffic,Normal request,No,
26,Legitimate but noisy web request,user_input=V9g4kl21%3Ctest%3E,Web Traffic,Normal request,No,
27,Legitimate but noisy web request,/blog/script-xSwHzCgN-tips,Web Traffic,Normal request,No,
28,Legitimate but noisy web request,/product?id=88938&desc=<b>Q6jXTTex</b>,Web Traffic,Normal request,No,
29,Legitimate but noisy web request,/product?id=25719&desc=<b>g6s0lRom</b>,Web Traffic,Normal request,No,
30,Legitimate but noisy web request,/api/data/9jhQ6HCX?token=f122785f05635e5f,Web Traffic,Normal request,No,
31,Legitimate but noisy web request,/admin/tools?cmd=view&id=50106,Web Traffic,Normal request,No,
32,Legitimate but noisy web request,user_input=QagxIZnn%3Ctest%3E,Web Traffic,Normal request,No,
